title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg),total_time,time_score_norm,health_score_norm
Indian Chicken Curry,20,180,15,Indian,chicken,chicken thighs,1,0,0,0,0,0,463.45,28.93,8.59,20.93,17.02,8.66,156.61,967.39,30.67,9.65,0.85,33.34,341.38,2.08,898.37,0.53,70.0,0.37,2.45,3.91,2.63,0.26,0.4,3.76,1.08,13.99,100.65,33.05,15.72,2184.45,0.15,200,68.0,15.0
Chicken Dal Curry,15,60,27,Indian,chicken,chicken thighs,1,0,0,0,0,0,394.54,11.42,2.43,32.56,22.84,7.08,161.59,1189.77,41.31,10.73,1.13,41.23,468.46,2.78,966.37,0.78,90.57,0.43,1.54,9.72,3.8,0.42,0.45,3.63,1.09,25.26,93.13,99.43,19.72,1429.58,0.0,75,89.0,27.0
Slow Cooker Madras Beef Curry with Vegetables,45,240,47,Indian,beef,beef chuck roast,0,1,0,0,0,0,471.31,19.66,7.83,42.37,35.03,7.21,99.8,821.14,34.62,9.86,1.36,32.35,445.08,1.7,1698.46,0.81,98.7,0.42,2.69,7.34,11.79,0.34,0.48,6.59,3.93,16.25,112.74,49.55,74.84,1524.05,0.16,285,55.0,47.0
One Pan Thai Coconut Yellow Curry Chicken & Rice,10,30,20,Indian,chicken,chicken thighs,1,0,0,0,0,0,473.31,16.17,11.41,51.86,47.72,5.23,107.73,558.7,27.15,8.18,0.83,33.31,313.26,2.16,666.6,0.8,63.26,0.34,1.24,4.15,2.59,0.23,0.24,2.54,0.73,48.96,72.15,52.42,51.46,7116.21,0.0,40,94.0,20.0
Mahi Mahi Panang Curry + Weekly Menu,10,20,27,Indian,seafood,mahi mahi,0,0,0,0,1,0,479.85,23.93,16.83,38.19,30.06,6.72,82.78,830.38,30.94,8.41,0.68,46.59,255.23,1.19,808.68,0.76,85.9,0.13,1.0,8.12,1.2,0.08,0.26,4.91,0.72,5.51,92.78,45.96,59.25,4472.1,0.0,30,96.0,27.0
Lamb meatball curry,5,35,10,Indian,lamb,lamb,0,0,1,0,0,0,329.55,25.42,21.78,24.26,19.44,4.93,2.19,22.99,5.0,2.0,0.33,7.1,162.19,0.5,691.49,1.07,60.76,0.04,0.17,4.83,1.07,0.11,0.38,2.76,0.07,2.11,44.31,32.62,23.46,1774.53,0.0,40,94.0,10.0
Creamy Curry Chicken Salad Wraps,15,20,9,Indian,chicken,chicken breast,1,0,0,0,0,0,152.72,4.83,0.96,5.19,4.17,1.76,55.49,402.35,21.79,9.17,0.72,31.08,251.67,1.37,471.32,0.28,48.89,0.16,0.58,1.01,1.02,0.1,0.18,1.12,0.32,23.52,44.05,18.62,6.87,544.12,0.0,35,95.0,9.0
Thai Paleo Panang Curry,10,30,37,Indian,chicken,chicken breast,1,0,0,0,0,0,723.85,58.77,44.81,12.25,10.01,3.58,108.86,982.47,43.21,19.86,1.48,55.54,614.31,2.9,1265.74,1.9,185.05,0.28,2.74,2.24,2.56,0.18,0.61,8.54,0.38,1.87,104.72,61.7,44.57,3346.44,0.17,40,94.0,37.0
Pressure Cooker Green Curry,15,15,42,Indian,chicken,chicken thighs,1,0,0,0,0,0,738.06,58.41,30.91,23.58,15.09,10.27,166.7,867.85,35.84,10.55,1.11,42.78,512.22,3.03,1408.29,1.51,127.6,0.51,2.25,8.49,3.76,0.32,0.5,4.63,1.11,171.9,137.88,149.27,169.06,8918.45,0.17,30,96.0,42.0
Easy Coconut Shrimp Curry,10,20,13,Indian,seafood,shrimp,0,0,0,0,1,0,612.47,48.35,33.87,21.42,15.85,7.15,208.78,1336.27,31.64,2.33,0.3,1.66,448.68,0.61,1064.12,1.75,104.02,0.08,3.13,5.57,3.14,0.14,1.1,5.51,0.0,13.35,157.48,42.81,15.69,443.2,0.0,30,96.0,13.0
