title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg),total_time,time_score_norm,health_score_norm
AIP Salmon Curry (Nightshade-Free),20,30,100,Indian,seafood,salmon fillets,0,0,0,0,1,0,493.27,32.98,21.77,24.74,17.81,5.78,62.37,601.95,31.11,11.48,1.48,47.43,499.68,3.16,1596.14,1.57,147.25,0.72,1.57,6.94,2.62,0.48,0.86,6.92,3.61,165.33,184.84,167.07,153.4,7161.96,0.0,50,93.0,100.0
Home-style lamb curry,15,110,26,Indian,lamb,leg of lamb,0,0,1,0,0,0,288.17,13.19,2.54,16.81,12.44,7.45,75.63,211.51,27.37,8.94,0.53,29.61,297.96,1.24,824.79,0.62,71.38,0.39,2.88,4.37,5.11,0.29,0.41,4.73,3.19,15.91,90.58,54.41,32.36,347.61,0.0,125,81.0,26.0
"Thai prawn, potato & vegetable curry",15,30,37,Indian,seafood,shrimp,0,0,0,0,1,0,183.39,3.51,0.78,19.11,14.98,4.78,121.89,513.8,19.81,2.31,0.37,2.14,250.49,0.31,712.2,0.43,73.57,0.14,1.06,4.12,1.76,0.16,0.46,2.19,0.0,78.94,94.53,72.55,67.07,3541.94,0.0,45,94.0,37.0
Fruity Caribbean curry,10,50,22,Caribbean,chicken,chicken drumsticks,1,0,0,0,0,0,498.23,28.59,21.87,50.5,39.15,19.79,27.14,485.87,15.91,3.67,0.61,16.35,322.63,0.92,1018.28,2.21,113.97,0.2,2.46,11.35,2.52,0.3,0.63,5.31,0.16,18.41,108.62,87.68,72.95,304.94,0.0,60,91.0,22.0
30 Minute Chicken Curry,10,20,21,Indian,chicken,chicken breast,1,0,0,0,0,0,287.66,11.43,1.62,19.58,15.63,6.52,74.57,322.53,27.71,13.24,1.1,39.55,316.57,2.07,840.67,0.69,67.32,0.21,3.05,3.95,1.36,0.18,0.27,2.84,0.28,12.12,93.38,27.6,13.57,413.75,0.0,30,96.0,21.0
Next level chicken katsu curry,20,45,39,Indian,chicken,chicken breast,1,0,0,0,0,0,668.28,24.55,10.64,70.86,64.15,18.15,193.54,1376.56,41.51,16.91,1.32,65.16,549.36,2.99,1067.39,1.02,97.43,0.74,3.05,6.7,2.67,0.8,0.3,5.64,1.14,65.85,290.95,150.07,46.35,3860.52,1.69,65,90.0,39.0
Mapo Curry Tofu (麻婆カレー豆腐️),10,7,5,Indian,beef,ground chuck,0,0,0,0,0,1,229.45,13.83,3.67,13.14,11.17,3.82,25.16,661.47,13.08,2.33,0.24,6.72,163.75,0.27,453.21,0.39,59.32,0.15,0.98,1.97,2.33,0.15,0.33,2.9,0.79,24.58,78.65,20.35,2.94,128.19,0.0,17,98.0,5.0
Aromatic prawn & cashew curry,30,70,20,Indian,seafood,shrimp,0,0,0,0,1,0,517.88,31.0,9.28,31.11,26.19,12.39,190.93,523.6,33.91,3.36,0.46,12.25,555.45,0.85,1054.9,0.95,180.22,0.26,3.29,4.92,4.28,0.31,1.49,4.8,0.17,22.77,186.28,36.99,17.04,545.49,0.24,100,85.0,20.0
Thai Coconut Curry With Shrimp,15,15,17,Indian,seafood,shrimp,0,0,0,0,1,0,309.95,17.49,11.9,14.45,12.42,7.16,182.57,1741.45,27.71,2.45,0.29,2.98,348.92,0.37,690.51,1.08,122.9,0.07,1.31,2.03,2.29,0.06,0.66,3.51,0.09,12.77,124.8,48.6,73.45,2286.06,0.0,30,96.0,17.0
30-Minute Thai Red Curry with Fish,10,20,62,Indian,seafood,cod fillets,0,0,0,0,1,0,404.17,25.08,20.76,21.56,14.96,7.58,49.94,1128.28,29.51,5.01,0.85,42.82,481.55,1.45,1515.24,1.43,149.12,0.4,2.59,6.61,2.39,0.29,0.47,5.83,1.09,161.38,149.52,146.11,149.62,8295.36,1.02,30,96.0,62.0
Clean Eating Curry Chicken,15,600,11,Indian,chicken,chicken breast,1,0,0,0,0,0,181.33,3.43,0.75,11.65,10.49,1.66,73.25,168.38,25.47,12.42,0.96,37.65,264.82,1.68,587.24,0.23,38.13,0.16,0.39,1.16,0.82,0.11,0.1,1.13,0.23,0.0,23.86,9.19,6.02,227.81,0.0,615,1.0,11.0
Lamb vindaloo,30,60,22,Indian,lamb,lamb,0,0,1,0,0,0,708.9,58.41,14.94,23.25,19.35,5.03,91.25,327.54,24.01,8.64,0.54,25.6,281.46,1.11,840.77,0.81,77.49,0.36,5.39,3.89,4.91,0.27,0.31,4.63,2.89,61.62,99.24,55.7,46.5,377.92,0.0,90,86.0,22.0
Vegetable Shrimp Curry with Herbed Cauliflower Rice,10,20,20,Indian,seafood,fish,0,0,0,0,1,0,176.02,11.46,7.64,15.59,11.99,5.95,5.14,809.79,5.99,2.14,0.3,5.37,113.59,0.48,533.46,0.8,55.61,0.11,1.63,3.6,0.81,0.14,0.28,3.25,0.15,64.46,63.92,64.24,47.52,1946.42,0.29,30,96.0,20.0
Thai Chicken Coconut Curry,15,15,32,Indian,chicken,chicken breast,1,0,0,0,0,0,504.31,33.36,20.61,13.0,10.28,6.2,108.86,622.64,40.5,19.25,1.64,55.64,507.61,2.93,1230.09,1.07,121.34,0.3,1.94,2.72,2.01,0.21,0.34,4.86,0.36,10.41,78.88,65.44,64.02,3544.24,0.17,30,96.0,32.0
Masala meatball curry,20,35,27,Indian,lamb,ground lamb,0,0,1,0,0,0,389.12,25.43,10.78,17.13,13.54,7.35,113.92,398.28,23.36,7.87,0.47,24.93,248.28,1.22,775.41,0.56,70.67,0.4,2.17,3.59,4.12,0.27,0.37,4.26,2.41,131.45,112.87,101.65,36.03,3327.94,0.32,55,92.0,27.0
Nightshade-Free AIP Green Curry with Salmon,15,20,63,Indian,seafood,salmon,0,0,0,0,1,0,502.72,42.28,33.11,12.65,10.73,3.21,49.9,93.64,23.77,8.82,0.94,33.28,377.46,1.94,1066.11,1.57,122.93,0.43,0.34,1.92,1.82,0.29,0.69,7.27,2.88,44.89,99.57,70.86,44.99,6035.42,0.0,35,95.0,63.0
Fried fish & tomato curry,10,25,54,Indian,seafood,cod fillets,0,0,0,0,1,0,388.23,12.62,9.51,41.74,34.52,14.21,53.75,96.38,29.42,6.02,0.74,50.24,429.94,0.85,1619.05,1.15,108.14,0.23,2.89,7.22,1.81,0.37,0.44,3.24,1.14,32.34,102.78,102.91,58.6,4922.85,1.13,35,95.0,54.0
Lamb Curry,60,120,58,Indian,lamb,lamb stew meat,0,0,1,0,0,0,672.6,15.07,6.43,93.25,85.8,13.73,112.88,976.14,40.74,12.48,0.9,46.77,492.84,2.2,1334.41,1.32,109.76,0.54,1.03,7.45,7.74,0.41,0.59,6.26,4.13,10.37,107.1,81.59,32.77,73.67,0.0,180,72.0,57.99999999999999
Thai green chicken curry,25,30,16,Indian,chicken,chicken thighs,1,0,0,0,0,0,272.57,9.19,2.51,5.83,5.36,3.01,190.0,537.96,39.1,11.34,0.91,45.65,380.09,2.41,537.77,0.27,57.77,0.36,0.38,0.46,3.15,0.18,0.13,2.32,1.3,14.1,41.81,15.06,1.43,1926.18,0.0,55,92.0,16.0
Turkey curry,5,15,19,Indian,other,whole turkey,0,0,0,0,0,1,279.49,8.13,1.57,37.15,31.89,12.98,38.96,255.58,16.26,6.3,0.82,12.84,194.42,1.02,859.72,0.43,59.8,0.21,2.88,5.26,1.57,0.2,0.36,2.9,0.65,12.69,83.71,40.66,54.06,1553.15,0.16,20,98.0,19.0
Pork & chickpea curry,20,135,42,Indian,pork,pork shoulder,0,0,0,1,0,0,245.35,9.45,3.1,13.94,10.93,6.94,78.34,245.9,25.79,6.87,0.75,35.88,293.55,1.25,771.02,0.39,51.68,0.48,1.28,3.02,4.05,1.11,0.29,3.14,0.96,6.16,66.71,37.41,47.29,1160.43,0.0,155,76.0,42.0
15-Minute Thai Curry For One,5,10,29,Thai,chicken,whole chicken,1,0,0,0,0,0,810.3,56.96,42.93,61.62,51.14,1.34,40.82,146.72,22.69,8.73,0.61,8.64,436.57,1.54,956.0,3.06,183.47,0.25,0.24,10.49,3.23,0.43,0.65,8.45,0.17,25.74,121.38,90.02,24.82,11800.3,0.0,15,99.0,28.999999999999996
Chicken Peanut Curry,15,45,53,Indian,chicken,chicken pieces,1,0,0,0,0,0,637.2,34.82,6.5,24.03,19.9,4.48,161.89,1467.45,58.65,24.02,1.22,43.41,541.17,2.84,888.8,0.97,129.58,0.58,5.9,4.13,4.75,0.38,0.36,5.06,0.87,49.47,97.26,86.8,13.64,450.96,0.23,60,91.0,53.0
Keralan hake curry,10,55,14,Indian,seafood,hake,0,0,0,0,1,0,333.16,28.5,21.88,19.36,15.05,6.11,0.62,78.59,5.22,1.71,0.22,9.3,153.23,0.39,581.99,1.14,61.11,0.05,1.02,4.32,1.01,0.09,0.41,3.15,0.0,5.09,49.01,46.75,127.05,380.1,0.0,65,90.0,14.000000000000002
Easy Thai Red Curry with Chicken - Simple & Authentic,15,20,28,Indian,chicken,chicken breast,1,0,0,0,0,0,458.25,24.45,19.51,27.89,23.34,6.42,72.57,920.5,27.94,13.0,1.17,39.04,342.32,1.98,882.3,1.08,88.22,0.26,1.71,4.55,1.48,0.2,0.19,2.64,0.23,121.05,84.6,98.09,53.94,10332.9,0.0,35,95.0,28.000000000000004
Green Curry with Fish,10,20,75,Indian,seafood,cod fillets,0,0,0,0,1,0,440.01,25.28,20.86,20.23,13.95,6.46,73.14,565.3,38.74,5.91,0.89,60.96,589.54,1.54,1690.94,1.39,167.27,0.4,2.58,6.28,2.3,0.33,0.43,6.27,1.57,181.55,160.05,156.0,156.97,2688.92,1.53,30,96.0,75.0
