,title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg)
167,"Chicken, potato & green bean curry",10,30,45,Indian,chicken,chicken thighs,1,0,0,0,0,0,237.64,6.71,1.67,39.88,32.94,11.65,6.97,246.96,7.69,3.15,0.62,2.61,165.68,0.97,1021.47,0.54,69.53,0.21,3.25,6.94,1.05,0.24,0.39,3.25,0.15,30.55,141.02,57.69,41.43,1835.98,0
168,Easy Chicken Vegetable Curry,10,20,24,Indian,chicken,chicken thighs,1,0,0,0,0,0,513.9,39.85,25.26,16.33,10.49,9.05,107.73,352.54,27.26,8.72,0.77,32.8,378.44,1.91,874.84,1.27,96.22,0.32,2.66,5.84,2.85,0.22,0.42,3.82,0.73,39.94,74.57,65.35,50.49,7631.41,0
169,Sweet potato and chickpea curry,30,60,35,Indian,,,0,0,0,0,0,0,553.37,7.45,1.04,107.9,92.83,11.97,0,731.02,15.7,2.87,1.35,12.24,312.38,2.61,1272.15,2.51,125.24,0.2,1.55,15.07,2.5,0.3,0.74,4.86,0,18.07,158.7,83.99,21.6,27549.98,0
170,Easy Basic Mixed Vegetable Curry,20,30,20,Indian,,,0,0,0,0,0,0,273.71,19.09,9.65,23.36,18.36,7.81,0,630.85,6.05,2.12,0.33,7.21,184.18,0.66,595.5,0.97,74.7,0.15,1.35,5,1.53,0.18,0.51,2.99,0,21.22,51.82,45.18,23.22,3481.17,0
171,"Cauliflower, egg & potato curry",-1,-1,21,Indian,,,0,0,0,0,0,0,365.92,22.29,16.24,32.96,26.66,8.09,186.5,125.6,12.66,2.6,0.56,21.24,285.08,1.87,1164.04,1.04,76.86,0.37,0.78,6.3,1.74,0.22,0.42,3.32,0.56,21.89,87.26,116.66,72.57,1173.18,1.1
172,Thai Red Prawn Curry,-1,-1,22,Indian,seafood,shrimp,0,0,0,0,1,0,466.02,32.87,28.35,28.59,20.52,14.94,134.17,353.54,23.14,2.88,0.38,9.79,379.88,0.76,1132.14,1.71,116.88,0.1,2.04,8.07,2.56,0.18,0.98,5.36,0,9.01,146,51.21,41.16,330.38,0
173,Curried Cabbage,10,20,18,,,,0,0,0,0,0,0,181.55,10.71,2.94,19.74,12.75,8.27,7.63,80.02,4.25,1.65,0.32,1.86,99.96,0.39,491.86,0.54,38.84,0.13,2.34,6.99,0.91,0.2,0.15,2.11,0,80.52,81.54,75.34,46.62,10005.99,0
174,Roasted Curried Cauliflower,-1,-1,22,,,,0,0,0,0,0,0,130.54,10.21,1.33,9.22,5.79,3.45,0,480.14,3.02,0.78,0.29,1.07,70.24,0.98,465.95,0.3,25.15,0.09,0.29,3.44,0.45,0.08,0.07,0.87,0,23.12,40.12,86.46,71.85,0,0
175,Vegan Thai Peanut Curry,25,20,35,Indian,,,0,0,0,0,0,0,473.93,40.02,23.28,22.22,15.77,10.88,0,781.98,13.32,4.33,0.39,8.3,277.8,0.87,805.58,1.4,101.37,0.17,3.69,6.45,1.83,0.18,0.51,3.62,0,57.16,96.86,83.39,86.1,8475.16,0
176,Lighter South Indian fish curry,20,20,33,Indian,seafood,white fish fillets,0,0,0,0,1,0,368.71,13.12,7.79,33.25,29.72,9.97,62.5,228.88,28.23,40.24,0.42,58.13,272.13,1.03,616.57,0.51,60.99,0.15,1.78,3.53,0.92,0.12,0.24,1.65,1.98,20.69,64.34,421.6,88.16,918.74,3.88
