,title,preparation_min,cooking_min,health_score,area,general_protein,protein,chicken?,beef?,lamb?,pork?,seafood?,other?,calories(kcal),fat(g),saturated_fat(g),carbohydrates(g),net_carbohydrate(g),sugar(g),cholesterol(mg),sodium(mg),protein(g),vitamin_B3(mg),vitamin_B6(mg),selenium(µg),phosphorus(mg),vitamin_B5(mg),potassium(mg),manganese(mg),magnesium(mg),vitamin_B2(mg),vitamin_E(mg),fiber(g),zinc(mg),vitamin_B1(mg),copper(mg),iron(mg),vitamin_B12(µg),vitamin_K(µg),calcium(mg),folate(µg),vitamin_C(mg),vitamin_A(IU),vitamin_D(µg)
225,Curry Chicken Salad,15,10,7,Indian,chicken,chicken breast,1,0,0,0,0,0,140.26,4.67,0.9,12.28,11.01,8.08,32.38,273.46,13.32,5.49,0.47,18.49,175.36,0.88,400.97,0.26,43.02,0.14,0.46,1.27,0.86,0.1,0.24,1.13,0.15,22.93,34.03,16.98,5.23,177,0
226,Instant Pot Chicken Coconut Curry,15,15,9,Indian,chicken,chicken breast,1,0,0,0,0,0,321.87,21.72,15.66,15.29,11.48,5.09,48.38,165.81,19.32,8.95,0.73,30.86,266.14,1.35,672.01,0.98,63.07,0.12,1.76,3.8,1.25,0.1,0.3,2.7,0.15,6.14,46.48,26.88,8.17,547.43,0
227,Easy Jackfruit Curry,10,15,10,Indian,,,0,0,0,0,0,0,419.82,26.17,20.02,48.44,44.44,4.91,0,773.5,4.5,2.07,0.27,0.84,136.68,0.4,526.77,1.13,76.43,0.09,1.45,4.01,1,0.11,0.35,5.64,0,5.84,139.09,56.64,44.75,1373.86,0
228,Egg curry,10,20,27,Indian,,,0,0,0,0,0,0,231.85,10.87,5.48,21.14,14.75,9.04,245.52,215.41,14.08,1.85,0.54,22.37,247.26,1.45,1035.01,1.16,112.3,0.59,3.33,6.39,1.74,0.22,0.31,5.53,0.59,463.12,199.24,251.47,60.54,11956.5,1.32
229,Simple Red Lentil Curry,5,35,22,Indian,,,0,0,0,0,0,0,355.74,14.22,11.31,46.13,28.37,10.07,0,1824.56,15.31,2.73,0.49,5.46,294.63,1.38,887.37,1.19,100.64,0.17,1.77,17.76,2.88,0.52,0.52,6.44,0,12.11,88.59,255.66,14.41,734.37,0
230,Thai Butternut Squash Red Curry,10,20,30,Indian,,,0,0,0,0,0,0,340.58,23.9,20.52,32.46,26.74,8.62,0.71,353.28,5.14,2.73,0.32,8.06,156.5,0.83,858.75,1.38,101.98,0.09,2.62,5.72,1.05,0.19,0.39,3.36,0,89.19,115.15,90.01,37.07,17105.03,0
231,Curry Braised Chicken Legs,10,45,9,Indian,chicken,chicken leg,1,0,0,0,0,0,495,40.82,22.18,10.08,6.94,4.95,131.4,608.82,24.3,7.33,0.55,28.44,300.94,1.51,678.05,1,64.9,0.26,1.22,3.14,2.66,0.17,0.33,3.08,0.75,10.13,49.75,30.24,12.97,966.98,0.2
232,Home-style pork curry with cauliflower rice,15,60,58,Indian,pork,pork tenderloin,0,0,0,1,0,0,293.08,7.58,1.37,29.71,18.59,12.23,69.06,409.68,30.12,10,1.44,35.74,432.99,2.57,1544.46,0.92,105.67,0.57,3.26,11.12,3.33,1.32,0.49,5.02,0.54,40.64,112.79,156.29,84.48,344.76,0.21
233,Thai Green Chicken Curry,-1,-1,21,Indian,chicken,chicken breast,1,0,0,0,0,0,331.96,17.22,10.62,16.64,13.95,5.31,73.52,458.76,29.41,13.83,1.05,38.46,358.21,2.34,816.24,0.6,81.46,0.24,1.36,2.68,1.41,0.2,0.23,3.37,0.24,44.85,58.43,56.45,51.1,1886.23,0
234,Sweet & hot vegetable curry,10,25,100,Indian,,,0,0,0,0,0,0,156.03,4.85,0.77,24.15,17.02,8.7,0,258.92,7.51,1.97,0.69,2.7,149.04,1.01,963.01,1.23,86.71,0.24,3.31,7.13,1.28,0.13,0.41,3.87,0,214.33,111.03,149.95,56.63,5588.42,0
235,Curried broccoli & boiled eggs on toast,10,15,15,,,,0,0,0,0,0,0,148.68,8.66,1.98,10.11,6.89,3.37,164.98,105.91,9.16,0.73,0.27,16.29,166.79,1.31,423.81,0.27,29.44,0.34,1.92,3.22,1.09,0.1,0.1,1.78,0.43,105.95,85.5,87.44,90.16,870.5,0.89
236,Thai Beef and Potato Curry,5,35,12,Indian,beef,beef chuck roast,0,1,0,0,0,0,491.54,37.28,26.54,22.52,20.56,7.28,58.68,497.14,21.68,5.95,0.61,18.74,321.68,0.97,847.84,1.07,98.6,0.16,0.17,1.96,7.3,0.17,0.4,6.37,2.35,2.44,68.5,42.81,6.61,1567.29,0
237,Peanut Butter Pumpkin Curry,5,25,29,Indian,chicken,chicken breast,1,0,0,0,0,0,462.67,30.18,16.57,27.47,18.7,8.55,48.21,359.9,25.24,10.59,1.19,30.83,365.22,1.98,895.5,1.6,107.07,0.19,2.61,8.77,1.95,0.16,0.46,3.85,0.15,13.63,81.62,72.33,58.96,13087.68,0
238,Curried baked chicken thighs with potatoes,10,35,8,,chicken,chicken thighs,1,0,0,0,0,0,438.5,28.99,6.87,18.84,16.3,2.58,141.61,897.04,25.59,7.63,0.79,27.77,287.43,1.75,697.02,0.3,52.47,0.23,1.27,2.54,2.17,0.19,0.19,2.14,0.92,8.29,38.38,22.55,20.49,190.84,0
239,Curried aubergine with bavette,10,25,18,,beef,steak,0,1,0,0,0,0,517.33,30.72,15.85,41.68,30.91,11.38,51.13,220.52,24.49,6.47,0.65,20.27,306.88,1.03,1055.21,1.54,115.06,0.47,4.08,10.77,5.38,0.29,0.6,4.46,1.25,11.62,113.82,75.64,8.42,140.49,0
240,One-pan prawn & tomato curry,10,20,20,Indian,seafood,shrimp,0,0,0,0,1,0,260.67,8.55,0.92,24.19,20.66,7.22,161,257.22,23.9,1.67,0.3,4.29,288.99,0.48,706.88,0.55,72.48,0.09,4.25,3.54,1.97,0.12,0.65,2.9,0,10.21,130.45,24.39,22.81,290.7,0
241,Thai Chicken and Potato Curry,-1,-1,65,Indian,chicken,chicken breast,1,0,0,0,0,0,565.92,31.67,22.41,39.57,31.22,8.69,80,306.85,35.43,16.46,1.85,47.84,533.79,2.63,1927.65,1.53,146.72,0.33,1.22,8.35,2.28,0.32,0.52,5.21,0.25,102.13,277.74,188.98,131.08,10621.97,0
242,AIP Salmon Curry (Nightshade-Free),20,30,100,Indian,seafood,salmon fillets,0,0,0,0,1,0,493.27,32.98,21.77,24.74,17.81,5.78,62.37,601.95,31.11,11.48,1.48,47.43,499.68,3.16,1596.14,1.57,147.25,0.72,1.57,6.94,2.62,0.48,0.86,6.92,3.61,165.33,184.84,167.07,153.4,7161.96,0
243,Easy Weeknight Kidney Bean Curry (Junjaro),-1,-1,10,Indian,,,0,0,0,0,0,0,172.85,7.54,0.76,21.91,15.67,4.26,0,831.6,6.01,0.68,0.16,1.58,103.6,0.2,395.2,0.55,36.09,0.06,2.43,6.24,0.79,0.12,0.2,2.34,0,6.16,42.51,82.31,7.27,128.8,0
244,Vegan chickpea curry jacket potatoes,15,45,23,Indian,,,0,0,0,0,0,0,261.3,4.45,3.13,52.42,43.81,12.07,0,166.51,4.57,1.39,0.55,1.96,127.53,1.87,859.64,0.72,66.64,0.16,0.65,8.61,0.85,0.2,0.38,2.42,0,4.39,101.46,33.36,11.15,33256.02,0
245,Japanese Curry Puffs,-1,-1,20,,,,0,0,0,0,0,0,814.44,50.4,12.13,80.03,74.32,4.69,0,347.26,11.75,6.63,0.42,30.14,155.31,0.45,683.24,0.85,53.12,0.41,1.54,5.7,1.11,0.61,0.31,4.14,0,29.3,49.23,124.94,25.24,6288.34,0
246,Warming veggie curry,10,10,74,Indian,,,0,0,0,0,0,0,401.53,9.62,4.48,64.65,59.9,5.81,0.62,80.54,18.05,3.33,0.33,1.08,228.85,0.82,1425.78,0.58,210.63,0.11,4.14,4.76,0.45,0.52,0.76,7.69,0,2.36,234.12,58.73,43.33,20522.43,0
247,Aubergine & Lentil Curry,-1,-1,100,Indian,,,0,0,0,0,0,0,334,12.33,1.96,44.96,24.16,14,0.44,234.76,14.68,3.27,0.56,4.19,268.31,1.59,1299.29,1.4,111.31,0.24,3.44,20.8,2.51,0.49,0.48,4.61,0,144.97,102.07,298.73,30.08,4536.48,0
248,Karepan (Japanese Curry Grilled Cheese),5,10,11,,,,0,0,0,0,0,0,556.36,37.46,20.28,34.14,29.61,7.69,86.6,726.12,20.25,3.2,0.11,32.29,336.07,0.72,146.57,0.68,40.65,0.4,0.87,4.53,2.69,0.25,0.11,3.67,0.62,5.09,556.42,60.44,5.33,10232.76,0.34
249,"Spicy Coconut Curry With Peppers, Pak Choi and Tomatoes",-1,-1,39,Indian,,,0,0,0,0,0,0,496.68,45.14,39.15,24.31,18.18,10.24,0,346.31,7.57,2.46,0.55,0.76,226.34,0.58,993.01,1.94,73.65,0.12,0.76,6.13,1.63,0.16,0.6,4.16,0,59.26,147.58,120.75,132.91,5966.69,0
250,Spinach & chickpea curry,5,15,97,Indian,,,0,0,0,0,0,0,95.62,1.03,0.32,19.1,16.09,4.58,0,62.26,4.03,1.21,0.26,3.02,80.97,0.33,625.44,0.83,64.47,0.15,1.85,3.02,0.65,0.11,0.19,2.74,0,304.82,93.39,142.01,44.49,7531.79,0
251,Home-style lamb curry,15,110,26,Indian,lamb,leg of lamb,0,0,1,0,0,0,288.17,13.19,2.54,16.81,12.44,7.45,75.63,211.51,27.37,8.94,0.53,29.61,297.96,1.24,824.79,0.62,71.38,0.39,2.88,4.37,5.11,0.29,0.41,4.73,3.19,15.91,90.58,54.41,32.36,347.61,0
252,Spicy Easy Quick Curry,-1,-1,14,Indian,pork,pork tenderloin,0,0,0,1,0,0,296.17,11.4,2.19,30.54,26.92,4.36,43.63,861.8,19.19,7.48,0.7,25.5,232.79,1.32,675.78,0.2,39.35,0.49,2.88,3.62,1.79,0.77,0.3,2.84,0.38,8.7,48.05,19.84,5.28,2213.18,0.28
253,Vegan Coleslaw with Creamy Curry Dressing,15,0,18,Indian,,,0,0,0,0,0,0,149.69,5.51,1.11,22.56,20.05,14.47,0.83,28.23,4.79,0.53,0.16,3.32,112.65,0.36,329.72,0.37,46.6,0.19,0.29,2.52,0.94,0.07,0.32,1.36,0.12,60.92,67.07,39.54,22.38,188.6,0
254,Vegan Thai Sweet Potato Curry,10,45,23,Indian,,,0,0,0,0,0,0,520.33,18.92,8.57,77.25,68.75,13.42,0,1707.95,13.83,6.22,0.64,12.42,243.59,2.04,958.46,1.6,111.66,0.17,3.14,8.51,1.92,0.31,0.64,3.34,0,9.55,123.42,67.04,18,18187.25,0
255,"Thai prawn, potato & vegetable curry",15,30,37,Indian,seafood,shrimp,0,0,0,0,1,0,183.39,3.51,0.78,19.11,14.98,4.78,121.89,513.8,19.81,2.31,0.37,2.14,250.49,0.31,712.2,0.43,73.57,0.14,1.06,4.12,1.76,0.16,0.46,2.19,0,78.94,94.53,72.55,67.07,3541.94,0
256,Fruity Caribbean curry,10,50,22,Caribbean,chicken,chicken drumsticks,1,0,0,0,0,0,498.23,28.59,21.87,50.5,39.15,19.79,27.14,485.87,15.91,3.67,0.61,16.35,322.63,0.92,1018.28,2.21,113.97,0.2,2.46,11.35,2.52,0.3,0.63,5.31,0.16,18.41,108.62,87.68,72.95,304.94,0
257,30 Minute Chicken Curry,10,20,21,Indian,chicken,chicken breast,1,0,0,0,0,0,287.66,11.43,1.62,19.58,15.63,6.52,74.57,322.53,27.71,13.24,1.1,39.55,316.57,2.07,840.67,0.69,67.32,0.21,3.05,3.95,1.36,0.18,0.27,2.84,0.28,12.12,93.38,27.6,13.57,413.75,0
258,Curry Spice,5,10,88,Indian,,,0,0,0,0,0,0,140.93,6.58,0.73,23.69,12.74,0.78,0,62.67,5.41,1.86,0.25,7.59,156.78,0,678.25,2.83,121.15,0.13,1.4,10.95,1.86,0.13,0.35,14.89,0,4.02,251.11,5.8,6.49,765.48,0
259,Eggplant Green Curry,10,20,25,Indian,,,0,0,0,0,0,0,337.53,25.32,21.55,28.24,17.09,18.25,0,380.76,6.62,2.9,0.48,7.76,186.45,1.02,969.22,1.7,87.69,0.14,1.81,11.15,1.62,0.16,0.56,3.07,0,17.37,66.53,88.9,63.92,2656.06,0
260,Vegan Chickpea Curry (Jamaican Style),15,30,93,Indian,,,0,0,0,0,0,0,426.7,10,3.6,68.07,48.66,13.68,0,440.26,20.2,1.89,0.64,8.88,391.83,1.68,1027.23,2.4,128.11,0.24,1.63,19.41,3.65,0.51,0.89,7.27,0,14.93,132.04,570.86,11.04,3317.4,0
261,"Prawn, butternut & mango curry",-1,-1,44,Indian,seafood,shrimp,0,0,0,0,1,0,483.95,13.34,5.13,68.08,60.4,14.05,140.88,1021.92,26.7,3.61,0.69,9.48,369.21,1.08,1598.48,2.09,202.59,0.32,5.42,7.68,2.76,0.29,0.8,6.82,0,517.89,283.13,271.62,104.16,20960.32,0
262,Chickpea curry,15,25,15,Indian,,,0,0,0,0,0,0,321.22,25.81,15.97,23.06,18.67,6.32,0,172.48,5.66,1.98,0.43,2.71,141.81,0.62,761.54,1.42,86.53,0.16,3.27,4.39,1.3,0.16,0.52,5.43,0,133.6,124.56,72.12,24.68,2658.66,0
263,Indian Roasted Chickpea and Sweet Potato Curry,-1,-1,32,Indian,,,0,0,0,0,0,0,432.69,25.38,14.92,45.16,34.76,6.68,0,457.19,11.3,1.61,0.99,5.25,262.42,1.3,872.44,2.25,109.47,0.1,1.74,10.4,1.91,0.18,0.59,6.14,0,5.11,125.81,68.8,22.05,11156.2,0
264,Next level chicken katsu curry,20,45,39,Indian,chicken,chicken breast,1,0,0,0,0,0,668.28,24.55,10.64,70.86,64.15,18.15,193.54,1376.56,41.51,16.91,1.32,65.16,549.36,2.99,1067.39,1.02,97.43,0.74,3.05,6.7,2.67,0.8,0.3,5.64,1.14,65.85,290.95,150.07,46.35,3860.52,1.69
265,Turmeric Cauliflower Curry,15,20,76,Indian,,,0,0,0,0,0,0,219.55,6.81,1.75,35.27,27.66,8.97,5.31,268.62,8.17,2.57,0.68,2.82,200.43,1.48,1077.87,0.56,64.21,0.22,1.16,7.61,1.32,0.25,0.27,2.33,0.15,34.06,115.14,120.89,118.84,489.88,0
266,Cauliflower & potato curry,15,40,49,Indian,,,0,0,0,0,0,0,189.85,1.55,0.41,40.39,32.57,9,0.62,218.64,7.25,2.69,0.76,2.18,162.78,1.51,1148.17,0.64,66.59,0.17,1.01,7.83,1.01,0.23,0.31,2.91,0,31.17,90.05,116.04,102.29,204.08,0
267,Dairy-Free Chutney Chicken Curry,5,0,8,Indian,chicken,chicken breast,1,0,0,0,0,0,354.79,13.83,7.27,32.39,30.7,21.67,72.57,296.04,25.22,12.13,0.9,39.47,283.94,1.69,562.05,0.41,46.69,0.15,1.26,1.69,0.96,0.09,0.17,1.6,0.23,4.48,29.5,16.39,6.58,0,0
268,Curry roasted sweet potatoes,10,45,5,Indian,,,0,0,0,0,0,0,264.59,7.33,0.58,46.88,39.41,9.48,0,1288.14,3.84,1.3,0.48,1.4,108.11,1.81,778.55,0.74,57.98,0.14,1.84,7.47,0.72,0.18,0.35,1.67,0,9.34,76.04,25.11,5.59,32064.54,0
269,"Curried Chicken, Chickpea & Arugula Wraps",15,30,19,,chicken,chicken breast,1,0,0,0,0,0,398.65,23.09,3.76,30.3,25.61,9.18,42.17,487.6,18.63,7.99,0.68,26.28,269.1,1.22,524.1,0.68,67.31,0.3,4.29,4.68,1.17,0.25,0.23,2.68,0.13,46.75,108.62,71.48,42.1,1311.18,0
270,Jamaican Goat Curry,30,180,27,Indian,,,0,0,0,0,0,0,259.55,8.85,5.41,37.76,31.96,12.17,18.71,195.96,10.4,2.55,0.62,4.52,302.26,1.06,1106.81,0.67,79.82,0.32,1.88,5.8,1.31,0.24,0.38,3.73,0.12,16.19,309.1,40.39,34.08,529.43,2.21
271,Potato and Broccoli Curry,20,20,69,Indian,,,0,0,0,0,0,0,416.65,15.34,1.5,61.7,47.5,10.71,0,864.2,16.87,4.61,0.98,13.22,386.43,2.48,1698.92,1.7,156.41,0.63,8.75,14.2,2.57,0.39,0.61,5.01,0,319.48,243.4,223.93,294.63,2357.76,0
272,Clean Eating Vegetable Curry,10,40,43,Indian,,,0,0,0,0,0,0,263.07,5.13,3.49,49.58,40.77,19.18,0,199.5,8.36,2.61,0.57,3.45,187.11,0.91,981.33,1.04,72.77,0.17,1.86,8.81,1.38,0.21,0.5,4.26,0,17.88,98.72,122.68,43.27,1581.1,0
273,Mapo Curry Tofu (麻婆カレー豆腐️),10,7,5,Indian,beef,ground chuck,0,0,0,0,0,1,229.45,13.83,3.67,13.14,11.17,3.82,25.16,661.47,13.08,2.33,0.24,6.72,163.75,0.27,453.21,0.39,59.32,0.15,0.98,1.97,2.33,0.15,0.33,2.9,0.79,24.58,78.65,20.35,2.94,128.19,0
274,Aromatic prawn & cashew curry,30,70,20,Indian,seafood,shrimp,0,0,0,0,1,0,517.88,31,9.28,31.11,26.19,12.39,190.93,523.6,33.91,3.36,0.46,12.25,555.45,0.85,1054.9,0.95,180.22,0.26,3.29,4.92,4.28,0.31,1.49,4.8,0.17,22.77,186.28,36.99,17.04,545.49,0.24
275,South-Indian Green curry,-1,-1,29,Indian,chicken,chicken pieces,1,0,0,0,0,0,450.67,26.44,7.49,18.74,14.65,5.11,127.5,187.72,35.07,12.75,1.11,27.09,329.25,1.93,806.93,1.06,74.83,0.33,1.23,4.09,2.9,0.21,0.31,3.97,0.53,50.99,116.58,54.89,83.41,2060.9,0.34
276,Kombocha Squash Thai Red Curry,15,55,14,Indian,,,0,0,0,0,0,0,358.46,17.09,12.94,46.68,41.14,5.46,7.53,382.98,8.25,2.32,0.54,8.05,184.07,0.95,650.94,1.53,90.82,0.08,1.41,5.53,1.36,0.15,0.38,3.78,0,40.39,100.45,67.56,21.23,10631.38,0
277,Vegan Panang Tofu Curry + Weekly Menu,10,30,47,Indian,,,0,0,0,0,0,0,654.65,35.55,23.25,71.54,61.42,14.62,0,760.05,19.15,5.98,0.74,8.25,439.88,1.46,1162.65,3.05,181.93,0.18,2.34,10.12,3.02,0.39,0.77,5.21,0,39.33,133.52,81.85,76.13,7450.95,0
278,Indian Butternut Squash Curry,15,30,26,Indian,,,0,0,0,0,0,0,309.15,19.2,11.29,29.42,24.38,4.6,0,203.23,5.4,3.47,0.41,5.73,125.76,0.87,740.54,0.8,84.06,0.07,2.82,5.04,0.74,0.25,0.25,2.94,0,13.21,120.23,75.11,33.73,15163.86,0
279,Red pork curry with green beans,-1,-1,34,Indian,pork,pork tenderloin,0,0,0,1,0,0,539.9,29.31,23.12,40.18,34.06,24.99,81.25,1103.35,32.68,10.65,1.93,46.15,573.49,1.43,2748.72,1.11,114.81,0.68,1.23,6.12,6.94,1.36,1.09,5.54,0.69,29.15,83.08,67.33,23.98,1483.76,0.38
280,Coconut Curry Chicken Soup,0,40,5,Indian,chicken,chicken breast,1,0,0,0,0,0,217.19,11.26,8.14,22.34,18.39,11.64,29.3,872.56,9.7,4.37,0.37,10.9,142.34,0.65,480.41,0.58,42.53,0.21,0.71,3.95,0.86,0.13,0.21,2.1,0.1,17.53,45.15,23.16,9.96,2905.81,0
281,Sweet potato and lentil curry recipe,5,25,46,Indian,,,0,0,0,0,0,0,485.9,17.42,14.26,66.54,41.72,10.58,0,1081.65,19.59,2.82,0.63,9.16,392.45,2.16,1150.64,1.82,125.64,0.21,1.22,24.82,3.8,0.67,0.6,6.99,0,10.16,92.84,336.23,10.21,15247.67,0
282,Moroccan style sausages curry,-1,-1,31,Indian,pork,pork sausage,0,0,0,1,0,0,1161.76,97.7,30.9,15.33,11.22,6.91,244.08,2317.6,53.32,28.67,1.35,0.93,518.1,2.64,1251.5,0.31,72.89,0.51,3.18,4.11,7.82,1.03,0.31,5.32,2.88,17.3,88.9,161.26,78.34,11964.37,4.41
283,Yellow lentil & coconut curry with cauliflower,15,50,47,Indian,,,0,0,0,0,0,0,283.38,4.22,2.78,47.22,27.53,9.21,0,1539.23,16.52,2.11,0.6,6.07,307.34,2.11,981.1,1.06,89.82,0.21,0.39,19.69,2.92,0.53,0.36,4.88,0,24.93,85.67,327.24,75.08,2585.45,0
284,Easy Shrimp Panang Curry,10,0,100,Indian,seafood,shrimp,0,0,0,0,1,0,517.31,19.71,7.89,69.38,38.08,8.54,182.57,185.68,35.87,4.3,1.37,16.55,592.27,0.53,1921.87,3.98,276.15,0.35,20.55,31.29,5.43,0.3,1.2,26.41,0,90.69,498.76,190.78,161.38,4397.12,0
285,Thai Coconut Curry With Shrimp,15,15,17,Indian,seafood,shrimp,0,0,0,0,1,0,309.95,17.49,11.9,14.45,12.42,7.16,182.57,1741.45,27.71,2.45,0.29,2.98,348.92,0.37,690.51,1.08,122.9,0.07,1.31,2.03,2.29,0.06,0.66,3.51,0.09,12.77,124.8,48.6,73.45,2286.06,0
286,Easy Chickpea and Cauliflower Curry,5,25,7,Indian,,,0,0,0,0,0,0,115.16,5.96,1.84,13.86,8.98,4.21,0,635.97,4.23,1.09,0.35,2.04,98.09,0.77,465.82,0.55,37.23,0.1,1.38,4.88,0.78,0.13,0.14,2,0,25.81,55.76,81.5,58.69,172.21,0
287,Instant Pot Sweet Potato Curry (Meal Prep),5,16,28,Indian,,,0,0,0,0,0,0,479.14,25.31,18.74,58.05,46.09,13.02,0,1156.03,9.77,1.89,0.88,8.55,253.24,1.9,1063.15,2.12,111.94,0.15,1.25,11.96,1.82,0.21,0.66,4.13,0,63.27,126.83,82.29,12.87,28034.57,0
288,30-Minute Thai Red Curry with Fish,10,20,62,Indian,seafood,cod fillets,0,0,0,0,1,0,404.17,25.08,20.76,21.56,14.96,7.58,49.94,1128.28,29.51,5.01,0.85,42.82,481.55,1.45,1515.24,1.43,149.12,0.4,2.59,6.61,2.39,0.29,0.47,5.83,1.09,161.38,149.52,146.11,149.62,8295.36,1.02
289,Thai Massaman Curry,-1,-1,19,Thai,lamb,lamb,0,0,1,0,1,0,636.85,51.23,16.2,25.74,22.06,5.69,75.9,417.1,21.02,7.87,0.66,20.6,277.54,1.13,959.83,1.12,80.02,0.29,4.51,3.68,4.23,0.25,0.38,4.44,2.33,33,67.38,59.19,76.7,510.52,0
290,Clean Eating Curry Chicken,15,600,11,Indian,chicken,chicken breast,1,0,0,0,0,0,181.33,3.43,0.75,11.65,10.49,1.66,73.25,168.38,25.47,12.42,0.96,37.65,264.82,1.68,587.24,0.23,38.13,0.16,0.39,1.16,0.82,0.11,0.1,1.13,0.23,0,23.86,9.19,6.02,227.81,0
291,Lamb vindaloo,30,60,22,Indian,lamb,lamb,0,0,1,0,0,0,708.9,58.41,14.94,23.25,19.35,5.03,91.25,327.54,24.01,8.64,0.54,25.6,281.46,1.11,840.77,0.81,77.49,0.36,5.39,3.89,4.91,0.27,0.31,4.63,2.89,61.62,99.24,55.7,46.5,377.92,0
292,Sri Lankan Vegetable Curry,25,20,60,Indian,,,0,0,0,0,0,0,819.83,52.02,23.43,82.29,65.39,20.81,0,754.98,17.77,15.52,1.14,20.78,524.64,3.27,1878.64,3.09,243.01,0.35,5.05,16.9,4.15,0.5,1.45,7.8,0,96.37,203.76,295.64,128.15,25039.24,0
293,Vegetable Shrimp Curry with Herbed Cauliflower Rice,10,20,20,Indian,seafood,fish,0,0,0,0,1,0,176.02,11.46,7.64,15.59,11.99,5.95,5.14,809.79,5.99,2.14,0.3,5.37,113.59,0.48,533.46,0.8,55.61,0.11,1.63,3.6,0.81,0.14,0.28,3.25,0.15,64.46,63.92,64.24,47.52,1946.42,0.29
294,Potato and pea curry,30,60,24,Indian,,,0,0,0,0,0,0,282.48,7.78,1.2,46.85,37.02,9.39,0,320.46,8.88,4.02,0.75,2.34,214.51,0.7,1178.43,0.77,80.75,0.19,1.44,9.83,1.71,0.39,0.4,3.49,0,42.81,68.66,95.26,78.3,1571.95,0
295,Thai Chicken Coconut Curry,15,15,32,Indian,chicken,chicken breast,1,0,0,0,0,0,504.31,33.36,20.61,13,10.28,6.2,108.86,622.64,40.5,19.25,1.64,55.64,507.61,2.93,1230.09,1.07,121.34,0.3,1.94,2.72,2.01,0.21,0.34,4.86,0.36,10.41,78.88,65.44,64.02,3544.24,0.17
296,Grilled Thai Curry Cilantro Garlic Chicken,-1,-1,1,Thai,chicken,chicken bones,1,0,0,0,0,0,153.44,14.4,12.69,5.92,4.23,2.72,0,1423.18,2.65,0.94,0.15,6.04,70.29,0.16,244.07,0.73,56.93,0.02,0.22,1.69,0.52,0.03,0.19,1.47,0.09,1.69,28.67,19.93,3.19,0,0
297,Masala meatball curry,20,35,27,Indian,lamb,ground lamb,0,0,1,0,0,0,389.12,25.43,10.78,17.13,13.54,7.35,113.92,398.28,23.36,7.87,0.47,24.93,248.28,1.22,775.41,0.56,70.67,0.4,2.17,3.59,4.12,0.27,0.37,4.26,2.41,131.45,112.87,101.65,36.03,3327.94,0.32
298,Curried Ground Turkey with Potatoes,20,40,27,,other,ground turkey,0,0,0,0,0,1,256.93,3,0.66,27.06,21.4,5.39,62.37,121.77,31.78,13.12,1.43,26.59,375,1.4,982.28,0.48,79.53,0.23,0.47,5.66,2.93,0.28,0.29,3.02,0.58,21.06,48.03,60.42,55.06,814.69,0.45
299,Egg Curry,-1,-1,5,Indian,,,0,0,0,0,0,0,149.49,10.18,1.87,9.52,6.69,5.23,111.77,164.47,6.32,0.83,0.23,9.87,124.61,0.67,345.46,0.24,29.94,0.24,2.67,2.83,0.84,0.07,0.13,1.39,0.34,11.65,67.52,33.41,34.29,1225.09,0.61
300,Plant-Based Caribbean Curry (for your Slow Cooker),20,265,73,Caribbean,,,0,0,0,0,0,0,263.15,5.6,0.77,43.62,30.82,5.95,0,296.4,11.94,1.41,0.7,4.43,241.43,1.36,680.06,1.45,96.52,0.14,1.33,12.8,1.98,0.25,0.41,3.32,0,82.16,116.97,131.38,11.99,13576.04,0
301,Nightshade-Free AIP Green Curry with Salmon,15,20,63,Indian,seafood,salmon,0,0,0,0,1,0,502.72,42.28,33.11,12.65,10.73,3.21,49.9,93.64,23.77,8.82,0.94,33.28,377.46,1.94,1066.11,1.57,122.93,0.43,0.34,1.92,1.82,0.29,0.69,7.27,2.88,44.89,99.57,70.86,44.99,6035.42,0
302,Fried fish & tomato curry,10,25,54,Indian,seafood,cod fillets,0,0,0,0,1,0,388.23,12.62,9.51,41.74,34.52,14.21,53.75,96.38,29.42,6.02,0.74,50.24,429.94,0.85,1619.05,1.15,108.14,0.23,2.89,7.22,1.81,0.37,0.44,3.24,1.14,32.34,102.78,102.91,58.6,4922.85,1.13
303,Lamb Curry,60,120,58,Indian,lamb,lamb stew meat,0,0,1,0,0,0,672.6,15.07,6.43,93.25,85.8,13.73,112.88,976.14,40.74,12.48,0.9,46.77,492.84,2.2,1334.41,1.32,109.76,0.54,1.03,7.45,7.74,0.41,0.59,6.26,4.13,10.37,107.1,81.59,32.77,73.67,0
304,Vegan Thai Red Curry,15,20,18,Indian,,,0,0,0,0,0,0,179.31,11.68,10.31,15.68,11.98,6.17,0,277.65,3,1.02,0.37,1.03,69.27,0.69,453.81,0.32,25.12,0.12,0.88,3.71,0.63,0.09,0.11,0.94,0,17.28,48.42,64.66,78.82,5305.86,0
305,Katsu curry wrap,0,10,6,Indian,chicken,whole chicken,1,0,0,0,0,0,242.48,9.81,2.98,26.21,22.1,4.23,36,269.33,12.14,5.03,0.24,14.73,176.74,0.86,362.6,0.51,34.33,0.17,1.08,4.11,1.16,0.24,0.13,1.89,0.15,16.94,71.58,72.96,11.39,67.2,0
